account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
Bybambiandmashi,Influencer,0,0,13043,0,0.0,0.0,17297.0,0.0,0,0,39,0,13043,17297.0,39,Micro
อีฟ Evefee,Influencer,0,0,181690,11482,0.0,0.0,62628.0,192000.0,0,0,143,19,193172,254628.0,162,Macro
Jeban.com,Influencer,210682,121707,5002,0,1288808.0,295876.0,113617.0,0.0,831,129,63,0,337391,1698301.0,1023,Mega
Frennicha,Influencer,0,11307,515164,5947,0.0,21860.0,83594.0,143000.0,0,10,114,12,532418,248454.0,136,Macro
ต้นหลิว,Influencer,0,0,358538,0,0.0,0.0,64771.0,0.0,0,0,41,0,358538,64771.0,41,Macro
nattiw,Influencer,0,0,65728,113,0.0,0.0,92054.0,350.0,0,0,150,1,65841,92404.0,151,Micro
Noyneung Makeup,Influencer,26508,27313,146242,48953,115998.0,57367.0,70658.0,156000.0,170,95,115,36,249016,400023.0,416,Macro
armmakeup,Influencer,0,0,18297,131,0.0,0.0,219385.0,132000.0,0,0,48,1,18428,351385.0,49,Macro
nongchat,Influencer,0,0,1605249,0,0.0,0.0,1024099.0,0.0,0,0,475,0,1605249,1024099.0,475,Mega
เอกพงษ์ จิงหะรานนท์ Lookpad_misazaki,Influencer,0,0,838,1587,0.0,0.0,1973.0,62700.0,0,0,17,6,2425,64673.0,23,Micro
อาชิ อาชิตา ศิริภิญญานนท์,Influencer,0,14750,3111723,20699,0.0,92751.0,1309225.0,1300000.0,0,28,148,14,3147172,2701976.0,190,Mega
มอส ธนพร พลโกษฐ์,Influencer,0,0,231345,7886,0.0,0.0,169311.0,324000.0,0,0,76,9,239231,493311.0,85,Macro
บ้าคสอจนผัวไม่ทน(@ngamdemarco),Influencer,0,0,7196,0,0.0,0.0,31230.0,0.0,0,0,60,0,7196,31230.0,60,Micro
Pook Jongkol,Influencer,0,0,66875,0,0.0,0.0,45408.0,0.0,0,0,214,0,66875,45408.0,214,Micro
NampunMakeup,Influencer,0,0,2368,42,0.0,0.0,50900.0,16.0,0,0,40,7,2410,50916.0,47,Micro
manasaproyy,Influencer,0,0,3129659,0,0.0,0.0,435352.0,0.0,0,0,130,0,3129659,435352.0,130,Macro
zphez,Influencer,0,0,4077,0,0.0,0.0,4190.0,0.0,0,0,13,0,4077,4190.0,13,Nano
iiitoei,Influencer,0,10024,5661704,21472,0.0,44507.0,1204800.0,374000.0,0,4,110,6,5693200,1623307.0,120,Mega
แป้ง สุอารี ทรรศนกุลพันธ์,Influencer,0,168586,108624,466,0.0,45981.0,75650.0,116000.0,0,117,159,12,277676,237631.0,288,Macro
neayranchana,Influencer,0,0,71366,0,0.0,0.0,17006.0,0.0,0,0,94,0,71366,17006.0,94,Micro
Alie BlackCobra,Influencer,234165,0,1940601,77575,153711.0,0.0,266174.0,564000.0,105,0,97,29,2252341,983885.0,231,Mega
PuPe_so_Sweet,Influencer,427969,542,16400,1127,128976.0,923.0,34436.0,37400.0,556,15,57,2,446038,201735.0,630,Macro
Blacklist Secret,Influencer,627453,0,902611,31565,519280.0,0.0,47159.0,189000.0,534,0,153,18,1561629,755439.0,705,Macro
พลอยชมพู วัชรเจริญพงษ์,Influencer,0,0,0,49244,0.0,0.0,0.0,1320000.0,0,0,0,20,49244,1320000.0,20,Mega
Pekky the angel,Influencer,0,0,13057,373,0.0,0.0,7109.0,62500.0,0,0,82,9,13430,69609.0,91,Micro
Pairyinwonderland,Influencer,3562,37,16813,1979,35036.0,1390.0,33524.0,24600.0,184,2,70,9,22391,94550.0,265,Macro
ป้าพิม - PaPim,Influencer,0,0,13237,74,0.0,0.0,55210.0,113000.0,0,0,200,12,13311,168210.0,212,Macro
บลอสซั่ม ชนัญชิดา รุ่งเพชรรัตน์,Influencer,0,0,223273,0,0.0,0.0,270995.0,0.0,0,0,57,0,223273,270995.0,57,Macro
Unfull ice,Influencer,0,0,1114,477,0.0,0.0,2155.0,27600.0,0,0,25,15,1591,29755.0,40,Micro
ป๊อบ ปิยนุช จิตตินันทน์,Influencer,0,322665,351850,31627,0.0,45652.0,227951.0,359000.0,0,208,111,13,706142,632603.0,332,Macro
Beauty By Orangina,Influencer,42459,9804,4295,870,147815.0,1789.0,23997.0,29200.0,958,268,143,27,57428,202801.0,1396,Macro
Babyjingko,Influencer,80812,0,1473445,90877,99525.0,0.0,188153.0,449000.0,233,0,105,19,1645134,736678.0,357,Macro
gynegene,Influencer,0,52840,121144,5073,0.0,13345.0,90407.0,108000.0,0,6,82,6,179057,211752.0,94,Macro
วาเลนไทน์ Vvalentines,Influencer,0,0,296090,8377,0.0,0.0,122593.0,141000.0,0,0,80,24,304467,263593.0,104,Macro
พยูนบูด,Food,0,329500,58,0,0.0,33685.0,2866.0,0.0,0,472,2,0,329558,36551.0,474,Micro
หญิงชรา กะ หมาน้อย,Food,872287,0,0,0,260543.0,0.0,0.0,0.0,288,0,0,0,872287,260543.0,288,Macro
janyonce,Food,0,0,104606,0,0.0,0.0,18168.0,0.0,0,0,239,0,104606,18168.0,239,Micro
Let's Eat Thailand กิน/เที่ยว/ที่เดียวครบ,Food,34882,0,14,6,94912.0,0.0,1430.0,7170.0,1025,0,1,2,34902,103512.0,1028,Macro
ไชโย โอป้า,Food,46745,0,0,0,142985.0,0.0,0.0,0.0,49,0,0,0,46745,142985.0,49,Macro
papeega Channel,Food,0,0,0,3426,0.0,0.0,0.0,5910.0,0,0,0,89,3426,5910.0,89,Nano
ITAN - แทนไร้เทียมทาน,Food,284,0,11366,0,19328.0,0.0,101772.0,0.0,3,0,11,0,11650,121100.0,14,Macro
I proong ไอ้ปรุง,Food,0,0,0,2991,0.0,0.0,0.0,46100.0,0,0,0,9,2991,46100.0,9,Micro
อ้วน,Food,2234560,0,0,0,1765323.0,0.0,0.0,0.0,3272,0,0,0,2234560,1765323.0,3272,Mega
laila chill chill,Food,0,0,0,2634,0.0,0.0,0.0,2770.0,0,0,0,46,2634,2770.0,46,Nano
ครัวมนุษย์ป้า คุณป้า ปอมปอม,Food,48475,0,0,1892,104621.0,0.0,0.0,141000.0,100,0,0,68,50367,245621.0,168,Macro
GZR Gozziira,Food,26107,0,0,91746,15684.0,0.0,0.0,875000.0,67,0,0,13,117853,890684.0,80,Macro
Marefood,Food,2449,0,285802,0,138633.0,0.0,90990.0,0.0,93,0,99,0,288251,229623.0,192,Macro
Wongnai Cooking,Food,2374423,0,0,0,2894497.0,0.0,0.0,0.0,3814,0,0,0,2374423,2894497.0,3814,Mega
PHOLFOODMAFIA,Food,0,0,161301,14795,0.0,0.0,96962.0,505000.0,0,0,296,191,176096,601962.0,487,Macro
สร้างสรรค์เมนูไข่,Food,0,0,1965,0,0.0,0.0,18283.0,0.0,0,0,22,0,1965,18283.0,22,Micro
Maeban,Food,0,0,61372,0,0.0,0.0,174769.0,0.0,0,0,121,0,61372,174769.0,121,Macro
Apiinz Channel,Food,0,0,0,1535,0.0,0.0,0.0,2910.0,0,0,0,12,1535,2910.0,12,Nano
มนุษย์ต่างวัย,Food,490332,0,0,3883,239245.0,0.0,0.0,16900.0,108,0,0,43,494215,256145.0,151,Macro
OpenRice Thailand,Food,1587,0,0,0,827049.0,0.0,0.0,0.0,56,0,0,0,1587,827049.0,56,Macro
BORN TO BEER,Food,0,0,0,25699,0.0,0.0,0.0,82700.0,0,0,0,9,25699,82700.0,9,Micro
Cony Cry,Food,0,0,0,33869,0.0,0.0,0.0,147000.0,0,0,0,13,33869,147000.0,13,Macro
ศุภชัย เสมอมิตร โหน่งโชว์2,Food,0,0,0,142840,0.0,0.0,0.0,868000.0,0,0,0,180,142840,868000.0,180,Macro
สูงวัย,Food,5224,0,0,0,14207.0,0.0,0.0,0.0,64,0,0,0,5224,14207.0,64,Micro
หม่อมถนัดแดก,Food,5386393,0,0,979011,1330073.0,0.0,0.0,3650000.0,672,0,0,33,6365404,4980073.0,705,Mega
Jessiescape,Food,8046,0,0,23624,21813.0,0.0,0.0,313000.0,16,0,0,8,31670,334813.0,24,Macro
แดก,Food,653167,0,0,0,1107174.0,0.0,0.0,0.0,2491,0,0,0,653167,1107174.0,2491,Mega
Aumfooddiary,Food,443,0,139398,63,611.0,0.0,189835.0,536.0,498,0,212,44,139904,190982.0,754,Macro
กินได้อร่อยด้วย,Food,1946261,0,0,144795,303081.0,0.0,0.0,1510000.0,107,0,0,33,2091056,1813081.0,140,Mega
Icedessertdiary,Food,5380,0,373520,0,35992.0,0.0,239603.0,0.0,372,0,116,0,378900,275595.0,488,Macro
Ginyuudai - กินอยู่ได้,Food,5,0,804977,0,23239.0,0.0,334594.0,0.0,4,0,177,0,804982,357833.0,181,Macro
หิวมั้ย,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nano
The Charapaabs,Food,264,0,0,0,5864.0,0.0,0.0,0.0,4,0,0,0,264,5864.0,4,Nano
หนูนาสวีเดน แฟนเฟจ Noona Sweden,Food,0,0,0,24,0.0,0.0,0.0,557000.0,0,0,0,95,24,557000.0,95,Macro
ไทยสุรินทร์ กินแซบๆ,Food,0,0,0,420,0.0,0.0,0.0,47900.0,0,0,0,21,420,47900.0,21,Micro
Sweetlists,Food,269886,0,218497,0,165818.0,0.0,227291.0,0.0,278,0,66,0,488383,393109.0,344,Macro
ไปกินข้าว Paikinkao,Food,336,0,148,0,122069.0,0.0,496.0,0.0,120,0,20,0,484,122565.0,140,Macro
Bim กินแหลกล้างโลก,Food,11286,0,26202,14320,7199.0,0.0,4035.0,18300.0,60,0,58,16,51808,29534.0,134,Micro
korean everyday - เกาหลีวันละนิดจิตแจ่มใส,Food,82912,0,878,0,54009.0,0.0,2026.0,0.0,401,0,20,0,83790,56035.0,421,Micro
Madame Tuang,Food,0,0,34200,0,0.0,0.0,22441.0,0.0,0,0,197,0,34200,22441.0,197,Micro
TomJoke Foodtv,Food,0,0,45,0,0.0,0.0,445.0,0.0,0,0,5,0,45,445.0,5,End-user
ทําเอง กินเอง Byแม่Milko_o,Food,0,0,0,68484,0.0,0.0,0.0,603000.0,0,0,0,34,68484,603000.0,34,Macro
Sunny Channel,Food,0,0,0,321,0.0,0.0,0.0,29500.0,0,0,0,41,321,29500.0,41,Micro
เพื่อนคนไทยวัยเกษียณ,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,End-user
C A F E i S M,Food,10588,0,0,0,22615.0,0.0,0.0,0.0,95,0,0,0,10588,22615.0,95,Micro
อร่อยนัวร์ [Aroy N],Food,0,0,0,141675,0.0,0.0,0.0,173000.0,0,0,0,48,141675,173000.0,48,Macro
yingworldfood,Food,0,0,281894,9,0.0,0.0,297987.0,430.0,0,0,116,1,281903,298417.0,117,Macro
ตุ้ยลุยครัว,Food,0,0,84791,0,0.0,0.0,351672.0,0.0,0,0,43,0,84791,351672.0,43,Macro
Starving Time,Food,0,11564,301412,60538,0.0,74182.0,1490666.0,352000.0,0,176,200,30,373514,1916848.0,406,Mega
Ploy Style,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,End-user
กินตามโปร,Food,150251,0,42,0,346421.0,0.0,1197.0,0.0,1423,0,4,0,150293,347618.0,1427,Macro
เชฟนุ่น So Sweet By ChefNuN,Food,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Kia Zaab,Food,0,0,2580,108066,0.0,0.0,6352.0,434000.0,0,0,6,20,110646,440352.0,26,Macro
