Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
135,a-63b39682509c11eb9aea8c8590014502,Sweetlists,750372000000000,2733423090,1322379403,0,Food,1022571,4,476366,0,175045.0,172.0,227291.0,0.0,1046,3,222,0,1498941,402508.0,1271,Macro
136,a-63b45676509c11eb9aea8c8590014502,ไปกินข้าว Paikinkao,1940650000000000,0,5670624776,0,Food,2290,0,879,0,122329.0,0.0,605.0,0.0,560,0,97,0,3169,122934.0,657,Macro
137,a-63b2a6fa509c11eb9aea8c8590014502,Bim กินแหลกล้างโลก,297232000000000,1.25611e+,261674547,UClYUGArmbmofNjaVSrShZZQ,Food,46809,0,94570,25044,7392.0,0.0,6468.0,18300.0,394,0,242,29,166423,32160.0,665,Micro
138,a-63b3a10e509c11eb9aea8c8590014502,korean everyday - เกาหลีวันละนิดจิตแจ่มใส,110109000000000,1.23374e+,31048489725,0,Food,221028,0,3392,0,54916.0,0.0,2026.0,0.0,1230,0,70,0,224420,56942.0,1300,Micro
139,a-63b1343c509c11eb9aea8c8590014502,Madame Tuang,0,0,22682438,0,Food,0,0,149232,0,0.0,0.0,32084.0,0.0,0,0,834,0,149232,32084.0,834,Micro
140,a-63b162cc509c11eb9aea8c8590014502,TomJoke Foodtv,0,0,359697721,0,Food,0,0,275,0,0.0,0.0,445.0,0.0,0,0,43,0,275,445.0,43,End-user
141,a-63b1c6ae509c11eb9aea8c8590014502,ทําเอง กินเอง Byแม่Milko_o,0,0,0,UC5efxC2RQFVS2PIrEZOb19g,Food,0,0,0,786905,0.0,0.0,0.0,603000.0,0,0,0,136,786905,603000.0,136,Macro
142,a-63b15bba509c11eb9aea8c8590014502,Sunny Channel,632632000000000,0,0,UCp0qddOpNtXJTZxrFyyMH1w,Food,0,0,0,714,0.0,0.0,0.0,29500.0,0,0,0,118,714,29500.0,118,Micro
143,a-63b278c4509c11eb9aea8c8590014502,เพื่อนคนไทยวัยเกษียณ,1975150000000000,0,0,0,Food,9,0,0,0,116.0,0.0,0.0,0.0,21,0,0,0,9,116.0,21,End-user
144,a-63b2ae16509c11eb9aea8c8590014502,C A F E i S M,1242270000000000,0,13572586492,0,Food,12844,0,0,0,22615.0,0.0,0.0,0.0,152,0,0,0,12844,22615.0,152,Micro
145,a-63b1eecc509c11eb9aea8c8590014502,อร่อยนัวร์ [Aroy N],710857000000000,0,0,UCbxJz2OUs1_reYSa5xrUf0Q,Food,0,0,0,687388,0.0,0.0,0.0,179000.0,0,0,0,201,687388,179000.0,201,Macro
146,a-63b18bda509c11eb9aea8c8590014502,yingworldfood,687117000000000,1.13885e+,976658256,UCx7hxztEvw4dNz2nFzCUOrA,Food,0,0,1175332,11,0.0,0.0,297987.0,430.0,0,0,688,2,1175343,298417.0,690,Macro
147,a-63b1bf88509c11eb9aea8c8590014502,ตุ้ยลุยครัว,0,0,1517664728,UCGAV4qTPZz5HSnF6ebWgIew,Food,0,0,307449,64,0.0,0.0,351672.0,221.0,0,0,138,9,307513,351893.0,147,Macro
148,a-63b392f4509c11eb9aea8c8590014502,Starving Time,619492000000000,2868588084,308702578,UCEPwlU59eA7jJ_wS2jr1RVQ,Food,0,59622,1210304,165805,0.0,75816.0,1490666.0,364000.0,0,700,857,147,1435731,1930482.0,1704,Mega
149,a-63b15106509c11eb9aea8c8590014502,Ploy Style,108334000000000,0,0,0,Food,31,0,0,0,246.0,0.0,0.0,0.0,10,0,0,0,31,246.0,10,End-user
150,a-63b3bfa4509c11eb9aea8c8590014502,กินตามโปร,1663370000000000,9.49848e+,4018437411,0,Food,490662,0,277,0,352540.0,0.0,2098.0,0.0,5203,0,15,0,490939,354638.0,5218,Macro
151,a-63b203e4509c11eb9aea8c8590014502,เชฟนุ่น So Sweet By ChefNuN,0,0,1354654657,0,Food,0,0,5332,0,0.0,0.0,13751.0,0.0,0,0,28,0,5332,13751.0,28,Micro
152,a-63b35140509c11eb9aea8c8590014502,Kia Zaab,741899000000000,9.70347e+,1691704933,UCbuh_R4v3uLz9kVREf8SVoQ,Food,0,0,15006,419846,0.0,0.0,6352.0,434000.0,0,0,34,86,434852,440352.0,120,Macro
153,a-63b0b476509c11eb9aea8c8590014502,ครัวแล้วแต่เอ๋จ้าา,423464000000000,0,0,UCQkGSphabaPI9ug2TLw_7dQ,Food,1768653,0,0,4215,1370408.0,0.0,0.0,115000.0,338,0,0,86,1772868,1485408.0,424,Mega
